id,name_en,name_kr,hp,attack,defense,sp_attack,sp_defense,speed,evolutionLevel,evolutionTargetId,type_1,type_2,male_ratio_pct,egg_group_1,egg_group_2,hatch_counter,ability_1,ability_2,hidden_ability,exp_group,catch_rate,base_exp_yield,ev_yield_stat_1,ev_yield_amount_1,ev_yield_stat_2,ev_yield_amount_2,ev_yield_stat_3,ev_yield_amount_3,base_friendship,category_en,category_kr,height_m,weight_kg,pokedex_entry_en,pokedex_entry_kr
1,Bulbasaur,이상해씨,45,49,49,65,65,45,16,2,GRASS,POISON,87.5,MONSTER,GRASS,20,Overgrow,NONE,Chlorophyll,MEDIUM_SLOW,45,64,SPECIAL_ATTACK,1,NONE,0,NONE,0,50,Seed Pokemon,씨앗포켓몬,0.7,6.9,There is a plant seed on its back right from the day this POKEMON is born. The seed slowly grows larger.,태어났을 때부터 등에 식물의 씨앗이 있으며 조금씩 크게 자란다.
2,Ivysaur,이상해풀,60,62,63,80,80,60,32,3,GRASS,POISON,87.5,MONSTER,GRASS,20,Overgrow,NONE,Chlorophyll,MEDIUM_SLOW,45,142,SPECIAL_ATTACK,1,SPECIAL_DEFENSE,1,NONE,0,50,Seed Pokemon,씨앗포켓몬,1,13,"There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower.",꽃봉오리가 등에 붙어 있으며 양분을 흡수해가면 커다란 꽃이 핀다고 한다.
3,Venusaur,이상해꽃,80,82,83,100,100,80,0,0,GRASS,POISON,87.5,MONSTER,GRASS,20,Overgrow,NONE,Chlorophyll,MEDIUM_SLOW,45,236,SPECIAL_ATTACK,2,SPECIAL_DEFENSE,1,NONE,0,50,Seed Pokemon,씨앗포켓몬,2,100,A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.,꽃에서 황홀한 향기가 퍼져 나와 싸우는 자의 기분을 달래준다.
4,Charmander,파이리,39,52,43,60,50,65,16,5,FIRE,NONE,87.5,MONSTER,DRAGON,20,Blaze,NONE,Solar Power,MEDIUM_SLOW,45,62,SPEED,1,NONE,0,NONE,0,50,Lizard Pokemon,도롱뇽포켓몬,0.6,8.5,"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.",태어날 때부터 꼬리의 불꽃이 타오르고 있다. 불꽃이 꺼지면 그 생명이 다하고 만다.
5,Charmeleon,리자드,58,64,58,80,65,80,36,6,FIRE,NONE,87.5,MONSTER,DRAGON,20,Blaze,NONE,Solar Power,MEDIUM_SLOW,45,142,SPECIAL_ATTACK,1,SPEED,1,NONE,0,50,Flame Pokemon,화염포켓몬,1.1,19,t lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws.,꼬리를 휘둘러 상대를 쓰러트리고 날카로운 발톱으로 갈기갈기 찢어버린다.
6,Charizard,리자몽,78,84,78,109,85,100,0,0,FIRE,FLYING,87.5,MONSTER,DRAGON,20,Blaze,NONE,Solar Power,MEDIUM_SLOW,45,267,SPECIAL_ATTACK,3,NONE,0,NONE,0,50,Flame Pokemon,화염포켓몬,1.7,90.5,"Its wings can carry this POKEMON close to an altitude of 4,600 feet. It blows out fire at very high temperatures.",지상 1400m까지 날개를 사용해 날 수 있다. 고열의 불꽃을 내뿜는다.
7,Squirtle,꼬부기,44,48,65,50,64,43,16,8,WATER,NONE,87.5,MONSTER,WATER 1,20,Torrent,NONE,Rain Dish,MEDIUM_SLOW,45,63,DEFENSE,1,NONE,0,NONE,0,50,Tiny Turtle Pokemon,꼬마거북포켓몬,0.5,9,"When it retracts its long neck into its shell, it squirts out water with vigorous force.",기다란 목을 등껍질 속에 감춘 다음 기세 좋게 물대포를 발사한다.
8,Wartortle,어니부기,59,63,80,65,80,58,36,9,WATER,NONE,87.5,MONSTER,WATER 1,20,Torrent,NONE,Rain Dish,MEDIUM_SLOW,45,142,DEFENSE,1,SPECIAL_DEFENSE,1,NONE,0,50,Turtle Pokemon,거북포켓몬,1,22.5,This POKEMON is very popular as a pet. Its fur-covered tail is a symbol of its longevity.,애완동물로 인기가 많다. 또한 털로 덮인 꼬리는 장수(長壽)의 상징이다.
9,Blastoise,거북왕,79,83,100,85,105,78,0,0,WATER,NONE,87.5,MONSTER,WATER 1,20,Torrent,NONE,Rain Dish,MEDIUM_SLOW,45,239,SPECIAL_DEFENSE,3,NONE,0,NONE,0,50,Shellfish Pokemon,껍질포켓몬,1.6,85.5,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.",무거운 몸으로 상대를 덮쳐서 기절시킨다. 위기에 처하면 등껍질에 숨는다.
10,Caterpie,캐터피,45,30,35,20,20,45,7,11,BUG,NONE,50,BUG,NONE,15,Shield Dust,NONE,Run Away,MEDIUM_FAST,255,39,HP,1,NONE,0,NONE,0,50,Worm Pokemon,잎벌레포켓몬,0.3,2.9,"It is covered with a green skin. When it grows, it sheds the skin, covers itself with silk, and becomes a cocoon.",녹색 피부로 덮여 있다. 탈피해서 성장하면 실을 둘러서 번데기로 변한다.
11,Metapod,단데기,50,20,55,25,25,30,10,12,BUG,NONE,50,BUG,NONE,15,Shed Skin,NONE,Shed Skin,MEDIUM_FAST,120,72,DEFENSE,2,NONE,0,NONE,0,50,Cocoon Pokemon,번데기포켓몬,0.7,9.9,"Even though it is encased in a sturdy shell, the body inside is tender. It can’t withstand a harsh attack.",단단한 껍질로 둘러싸여 있지만 안은 부드럽기 때문에 강한 공격에는 버티지 못한다.
12,Butterfree,버터플,60,45,50,90,80,70,0,0,BUG,FLYING,50,BUG,NONE,15,Compound Eyes,NONE,Tinted Lens,MEDIUM_FAST,45,178,SPECIAL_ATTACK,2,SPECIAL_DEFENSE,1,NONE,0,50,Butterfly Pokemon,나비 포켓몬,1.1,32,"The wings are protected by rain-repellent dust. As a result, this POKEMON can fly about even in rain.",물을 튕겨내는 가루가 날개를 보호하고 있다. 비가 오는 날에도 하늘을 날 수 있다.
13,Weedle,뿔충이,40,35,30,20,20,50,7,14,BUG,POISON,50,BUG,NONE,15,Shield Dust,NONE,Run Away,MEDIUM_FAST,255,39,SPEED,1,NONE,0,NONE,0,50,Hairy Bug Pokemon,송충이포켓몬,0.3,3.2,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.",숲이나 풀밭에 많이 서식한다. 머리끝에 5㎝ 정도의 작고 날카로운 독침을 지니고 있다.
14,Kakuna,딱충이,45,25,50,25,25,35,10,15,BUG,POISON,50,BUG,NONE,15,Shed Skin,NONE,Shed Skin,MEDIUM_FAST,120,72,DEFENSE,2,NONE,0,NONE,0,50,Cocoon Pokemon,번데기포켓몬,0.6,10,This POKEMON is in a temporary stage while making its body. It is almost completely unable to move on its own.,성체의 몸을 만들기 위해서 일시적인 상태. 스스로 거의 움직이지 않는다.
15,Beedrill,독침붕,65,90,40,45,80,75,0,0,BUG,POISON,50,BUG,NONE,15,Swarm,NONE,Sniper,MEDIUM_FAST,45,178,ATTACK,2,SPECIAL_DEFENSE,1,NONE,0,50,Poison Bee Pokemon,독벌포켓몬,1,29.5,"May appear in a swarm. Flies at violent speeds, all the while stabbing with the toxic stinger on its rear.",집단으로 나타나기도 한다. 맹렬한 스피드로 날아 엉덩이의 독침으로 마구 찌른다.
16,Pidgey,구구,40,45,40,35,35,56,18,17,NORMAL,FLYING,50,FLYING,NONE,15,Keen Eye,Tangled Feet,Big Pecks,MEDIUM_SLOW,255,50,SPEED,1,NONE,0,NONE,0,50,Tiny Bird Pokemon,아기새포켓몬,0.3,1.8,"Does not like to fight. It hides in tall grass and so on, foraging for food such as small bugs.",싸움은 좋아하지 않는다. 풀숲 안에 숨어 작은 벌레 등을 잡는다.
